# ED537	MKO Y 1020/100nm HP: 970-1070nm	
# Information in red is the Room temp (298K) measured data for the delivered 80mm diameter filter	
#		
# ED537-1		ED537-2
# 80mm Dia X 5mm Thick		
# Measured at Center of part		
#	298K	298K
#peakT%	79.14382172	79.30427551
#Cut-on:	974.16	973.89
#Cut-off:	1071.54	1071.88
#wl(nm)	T%	T%
975	46.06322861	48.20116043
974.75	44.31644058	46.48521042
974.5	42.09445572	44.29721069
974.25	40.35046005	42.58124161
974	38.2772789	40.50361633
973.75	36.37968445	38.56830978
973.5	34.5127449	36.74632645
973.25	32.48933411	34.71796417
973	30.87681007	32.96786118
972.75	28.88853264	31.03524399
972.5	27.4399929	29.4589138
972.25	25.72574615	27.65073395
972	24.18605804	26.07110977
971.75	22.67293167	24.45543861
971.5	21.10658264	22.80995941
971.25	19.93842888	21.58351898
971	18.49079132	20.06901932
970.75	17.41560364	18.90130424
970.5	16.25243568	17.61776733
970.25	15.164711	16.45149803
970	14.2084856	15.4221611
969.75	13.12441635	14.26583672
969.5	12.37012482	13.45466518
969.25	11.43589211	12.43520164
969	10.71973705	11.65728283
968.75	9.978883743	10.8388176
968.5	9.257547379	10.05477333
968.25	8.671961784	9.438135147
968	8.010197639	8.700688362
967.75	7.515285969	8.159462929
967.5	6.970911503	7.577754021
967.25	6.517802715	7.05114603
967	6.062403202	6.571556091
966.75	5.615483761	6.094481468
966.5	5.258511543	5.697894573
966.25	4.863330364	5.270919323
966	4.580733776	4.948898792
965.75	4.22220993	4.559028625
965.5	3.93354702	4.26540184
965.25	3.669109821	3.960141659
965	3.403874159	3.676268578
964.75	3.195737362	3.436921597
964.5	2.947335958	3.180836916
964.25	2.760799408	2.985066175
964	2.565685511	2.74982214
963.75	2.373608351	2.572855949
963.5	2.219652653	2.408889771
963.25	2.06119442	2.224856138
963	1.936805844	2.08678627
962.75	1.787408948	1.934009552
962.5	1.66645515	1.817861795
962.25	1.560171127	1.690160513
962	1.434379578	1.55325675
961.75	1.357084513	1.468386769
961.5	1.252122164	1.346657276
961.25	1.172750592	1.283231258
961	1.093856812	1.182847857
960.75	1.015059233	1.110805511
960.5	0.947772145	1.024296165
960.25	0.877235174	0.951043606
960	0.827627897	0.905259073
959.75	0.771417797	0.829288006
959.5	0.717213213	0.79337287
959.25	0.683058918	0.727617204
959	0.624845326	0.682835043
958.75	0.582405984	0.636954725
958.5	0.544393182	0.588896155
958.25	0.508160174	0.557049573
958	0.473490834	0.521110594
957.75	0.449008167	0.494518131
957.5	0.423348755	0.461560577
957.25	0.388930798	0.429377377
957	0.368150979	0.395216793
956.75	0.338591516	0.365227222
956.5	0.317272753	0.341720402
956.25	0.302272677	0.31540513
956	0.284002811	0.295927435
955.75	0.262914002	0.285360903
955.5	0.24559778	0.25995031
955.25	0.230876401	0.248444542
955	0.222377405	0.234995902
954.75	0.209138632	0.227341399
954.5	0.188689664	0.196729526
954.25	0.168620169	0.202389985
954	0.166290686	0.179321632
953.75	0.168163642	0.168609709
953.5	0.148876399	0.156243026
953.25	0.130154848	0.150188386
953	0.134835929	0.147334591
952.75	0.12606746	0.13422443
952.5	0.112080857	0.132537603
952.25	0.122244343	0.124569252
952	0.112294756	0.113159046
951.75	0.101737589	0.104002491
951.5	0.103156231	0.107212566
951.25	0.090932794	0.094031319
951	0.084808305	0.101909265
950.75	0.079432741	0.091373943
950.5	0.073387012	0.08763247
950.25	0.070421368	0.072207794
950	0.076795526	0.077394485
949.75	0.063292995	0.071246639
949.5	0.066724807	0.076253243
949.25	0.051449206	0.069200732
949	0.060328569	0.057085831
948.75	0.066451207	0.064310841
948.5	0.049270604	0.068632819
948.25	0.048349526	0.055608932
948	0.049725726	0.046330836
947.75	0.043878675	0.052615009
947.5	0.043969858	0.050073687
947.25	0.037196431	0.0440429
947	0.040648986	0.045467295
946.75	0.035688687	0.044986088
